    DATA    |   HORA   | DESCRIÇÃO 
 04/06/2012 | 10:56:16 | >>> INICIANDO O PROCESSAMENTO DO ADR
 04/06/2012 | 10:56:16 | Arrumando Tributação...
 04/06/2012 | 10:56:18 | GERANDO RELAÇÃO DAS DI'S REGISTRADAS
 04/06/2012 | 15:33:38 | >>> INICIANDO O PROCESSAMENTO DO ADR
 04/06/2012 | 15:33:38 | Arrumando Tributação...
 04/06/2012 | 15:33:39 | GERANDO RELAÇÃO DAS DI'S REGISTRADAS
 04/06/2012 | 15:33:39 | CLIENTE: (152) MODEC SERVIÇOS DE PETROLEO DO BRASIL LTDA
 04/06/2012 | 15:33:39 | Verificando Processo: 05804/12
 04/06/2012 | 15:34:56 | >>> INICIANDO O PROCESSAMENTO DO ADR
 04/06/2012 | 15:34:56 | Arrumando Tributação...
 04/06/2012 | 15:34:57 | GERANDO RELAÇÃO DAS DI'S REGISTRADAS
 04/06/2012 | 15:34:58 | CLIENTE: (152) MODEC SERVIÇOS DE PETROLEO DO BRASIL LTDA
 04/06/2012 | 15:34:58 | Verificando Processo: 05804/12
 04/06/2012 | 15:35:08 | Salvando arquivo: \\MSSERVER01\sistemas\MS2000\planilhas\ADR_MS05804_DI_1208225814.txt
